"[0] BooksTitleJaccardComparator","[1] BooksISBNComparator","[2] BookPublicationDateComparator","[3] BooksAuthorsComparator","finalValue","isMatch","label"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.1875","1.0","0.0","1.0","0.81875","true","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"1.0","0.0","0.0","1.0","0.2","false","1"
"0.5","1.0","0.0","1.0","0.85","true","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"1.0","0.0","0.0","1.0","0.2","false","1"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"1.0","0.0","0.0","1.0","0.2","false","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.3333333333333333","1.0","0.0","1.0","0.8333333333333333","true","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
